x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref kx ky kt vx_cmd om_cmd df_fa0 df_da1 df_da2 time
-0.165349367343 -0.0760896387072 6.30754120437 0.193451730596 -0.000903928808237 0.00110492132875 2.29958299981 -0.164415120267 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15335632574 13.6108356062 42.8559345899 0.247760081993 -0.000954023134152 -5.83562993018e-06 1.72180271462e-06 -5.51492257788e-07 1516660681.97
-0.165349367343 -0.0760896387072 6.30754120437 0.193451730596 -0.000903928808237 0.00110492132875 2.29958299981 -0.164415120267 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15364882357 13.6105871818 42.8560141008 0.216118791448 -0.000872104291208 -2.92497827829e-06 2.48424383609e-06 -7.95108911685e-07 1516660681.98
-0.160556929303 -0.0759729132362 6.30752236091 0.240220106196 -0.000944245268322 -0.00202025626388 2.34356150216 -0.162255811246 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.154122159 13.6103837346 42.8560792613 0.280476679324 -0.000951430293565 -4.73335435838e-06 2.03447193385e-06 -6.51605188084e-07 1516660681.99
-0.160556929303 -0.0759729132362 6.30752236091 0.240220106196 -0.000944245268322 -0.00202025626388 2.34356150216 -0.162255811246 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15413928484 13.6100804096 42.8561763357 0.241375401224 -0.000866750165171 -1.71258354664e-07 3.03324956214e-06 -9.70743666348e-07 1516660682.0
-0.155437067086 -0.0758483082717 6.30750453294 0.252745854373 -0.000879830582219 0.00317893816352 0.618159946366 -0.160096502225 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15437882348 13.609812547 42.8562621202 0.271500090159 -0.000946595897176 -2.39538644441e-06 2.67862644318e-06 -8.57845306492e-07 1516660682.01
-0.155437067086 -0.0758483082717 6.30750453294 0.252745854373 -0.000879830582219 0.00317893816352 0.618159946366 -0.160096502225 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1540771213 13.6094279434 42.8563852015 0.229728350234 -0.00086743754731 3.01702188021e-06 3.846036182e-06 -1.23081269808e-06 1516660682.02
-0.150378216487 -0.0757252784628 6.30748627217 0.256193795154 -0.000924500899563 -0.00226155626966 0.174561376632 -0.157937193204 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15401399152 13.6090776123 42.8564973924 0.250777279932 -0.000947968126557 6.31297725783e-07 3.50331097988e-06 -1.12190913992e-06 1516660682.03
-0.150378216487 -0.0757252784628 6.30748627217 0.256193795154 -0.000924500899563 -0.00226155626966 0.174561376632 -0.157937193204 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15344398494 13.6085984134 42.8566507372 0.209507217381 -0.000867736423412 5.70006587147e-06 4.79198928504e-06 -1.53344763243e-06 1516660682.04
-0.145762939951 -0.075613120473 6.30746810072 0.229491656356 -0.000903296903994 0.0010540438446 -1.32735478769 -0.155777884183 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15312976456 13.608160008 42.8567911249 0.200414677946 -0.000948999152306 3.14220378807e-06 4.3840531713e-06 -1.40387777806e-06 1516660682.05
-0.145762939951 -0.075613120473 6.30746810072 0.229491656356 -0.000903296903994 0.0010540438446 -1.32735478769 -0.155777884183 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15245434931 13.6075929648 42.8569725701 0.162769008328 -0.000870041047031 6.75415251901e-06 5.67043256539e-06 -1.81445168946e-06 1516660682.06
